,step,Function,Model,ptc regulation,alphaHh_by,x_reach,t_reach
131,5,Signal,SS,Yes,2,17.27028893687364,False
132,5,Hh,Overshoot,No,1,,57600
133,5,Signal,Overshoot,No,1,,57600
134,5,Hh,SS,No,1,16.770125815617916,False
135,5,Signal,SS,No,1,22.532238438018254,False
136,5,Hh,Overshoot,No,0.5,,57600
137,5,Signal,Overshoot,No,0.5,,57600
138,5,Hh,SS,No,0.5,15.694766751697983,False
139,5,Signal,SS,No,0.5,16.74160838140307,False
140,5,Hh,Overshoot,No,2,17.62743584417842,57600
141,5,Signal,Overshoot,No,2,27.486842411880318,57600
142,5,Hh,SS,No,2,17.774492960502528,False
143,5,Signal,SS,No,2,28.18064616695358,False
144,6,Hh,Overshoot,Yes,1,,57600
145,6,Signal,Overshoot,Yes,1,,57600
146,6,Hh,SS,Yes,1,46.670988155816225,False
147,6,Signal,SS,Yes,1,49.266524650267,False
148,6,Hh,Overshoot,Yes,0.5,,57600
149,6,Signal,Overshoot,Yes,0.5,,57600
150,6,Hh,SS,Yes,0.5,44.62893320392153,False
151,6,Signal,SS,Yes,0.5,33.479501592730855,False
152,6,Hh,Overshoot,Yes,2,,57600
153,6,Signal,Overshoot,Yes,2,,57600
154,6,Hh,SS,Yes,2,49.59263854011505,False
155,6,Signal,SS,Yes,2,66.05204102032309,False
156,6,Hh,Overshoot,No,1,,57600
157,6,Signal,Overshoot,No,1,,57600
158,6,Hh,SS,No,1,52.3608768186986,False
159,6,Signal,SS,No,1,55.905737514195785,False
160,6,Hh,Overshoot,No,0.5,,57600
161,6,Signal,Overshoot,No,0.5,,57600
162,6,Hh,SS,No,0.5,49.88834312865732,False
163,6,Signal,SS,No,0.5,39.09640568259615,False
164,6,Hh,Overshoot,No,2,,57600
165,6,Signal,Overshoot,No,2,,57600
166,6,Hh,SS,No,2,54.202521546851344,False
167,6,Signal,SS,No,2,74.49577732631295,False
168,7,Hh,Overshoot,Yes,1,18.297882351252227,7982
169,7,Signal,Overshoot,Yes,1,27.18023603987581,7982
170,7,Hh,SS,Yes,1,13.435614742046596,False
171,7,Signal,SS,Yes,1,20.443843848293923,False
172,7,Hh,Overshoot,Yes,0.5,,57600
173,7,Signal,Overshoot,Yes,0.5,,57600
174,7,Hh,SS,Yes,0.5,11.491998014266827,False
175,7,Signal,SS,Yes,0.5,15.292579714427646,False
176,7,Hh,Overshoot,Yes,2,18.92326517511158,3665
177,7,Signal,Overshoot,Yes,2,33.09496172245137,8028
178,7,Hh,SS,Yes,2,15.406058313875718,False
179,7,Signal,SS,Yes,2,25.75550286484703,False
180,7,Hh,Overshoot,No,1,18.492954443138217,57600
181,7,Signal,Overshoot,No,1,29.1833507254956,57600
182,7,Hh,SS,No,1,18.574588506708565,False
183,7,Signal,SS,No,1,29.601259617589093,False
184,7,Hh,Overshoot,No,0.5,,57600
185,7,Signal,Overshoot,No,0.5,,57600
186,7,Hh,SS,No,0.5,17.774518572579808,False
187,7,Signal,SS,No,0.5,23.799374903020237,False
188,7,Hh,Overshoot,No,2,19.135328556046247,57600
189,7,Signal,Overshoot,No,2,35.14901770739388,57600
190,7,Hh,SS,No,2,19.14945446737184,False
191,7,Signal,SS,No,2,35.47967331332546,False
192,8,Hh,Overshoot,Yes,1,22.44246783659517,6086
193,8,Signal,Overshoot,Yes,1,11.712970087964365,6086
194,8,Hh,SS,Yes,1,20.708230620060505,False
195,8,Signal,SS,Yes,1,8.89491354089212,False
196,8,Hh,Overshoot,Yes,0.5,20.427033052459493,5141
197,8,Signal,Overshoot,Yes,0.5,5.1403316003452915,7667
198,8,Hh,SS,Yes,0.5,20.019225151540212,False
199,8,Signal,SS,Yes,0.5,3.2486253340173192,False
200,8,Hh,Overshoot,Yes,2,24.25110721291898,3715
201,8,Signal,Overshoot,Yes,2,19.661523512882,6006
202,8,Hh,SS,Yes,2,21.377513071183728,False
203,8,Signal,SS,Yes,2,16.04705182077943,False
204,8,Hh,Overshoot,No,1,22.588374841071342,57600
205,8,Signal,Overshoot,No,1,12.330729912868676,57600
206,8,Hh,SS,No,1,22.78508353548885,False
207,8,Signal,SS,No,1,11.637838127156698,False
208,8,Hh,Overshoot,No,0.5,20.463021080083607,57600
209,8,Signal,Overshoot,No,0.5,5.030771757823118,57600
210,8,Hh,SS,No,0.5,20.705924048560917,False
211,8,Signal,SS,No,0.5,4.208602027754878,False
212,8,Hh,Overshoot,No,2,24.490467458091075,57600
213,8,Signal,Overshoot,No,2,20.47623497354968,57600
214,8,Hh,SS,No,2,24.601750564827483,False
215,8,Signal,SS,No,2,19.762665490062105,False
216,9,Hh,Overshoot,Yes,1,,57600
217,9,Signal,Overshoot,Yes,1,,57600
218,9,Hh,SS,Yes,1,37.22707971462778,False
219,9,Signal,SS,Yes,1,28.683759505978998,False
220,9,Hh,Overshoot,Yes,0.5,,57600
221,9,Signal,Overshoot,Yes,0.5,,57600
222,9,Hh,SS,Yes,0.5,37.20076215163644,False
223,9,Signal,SS,Yes,0.5,17.328787872240795,False
224,9,Hh,Overshoot,Yes,2,,57600
225,9,Signal,Overshoot,Yes,2,,57600
226,9,Hh,SS,Yes,2,37.41300655925923,False
227,9,Signal,SS,Yes,2,40.365776863595705,False
228,9,Hh,Overshoot,No,1,,57600
229,9,Signal,Overshoot,No,1,,57600
230,9,Hh,SS,No,1,38.25954653625604,False
231,9,Signal,SS,No,1,29.971966725497154,False
232,9,Hh,Overshoot,No,0.5,,57600
233,9,Signal,Overshoot,No,0.5,,57600
234,9,Hh,SS,No,0.5,37.79895148717836,False
235,9,Signal,SS,No,0.5,18.233562843509674,False
236,9,Hh,Overshoot,No,2,,57600
237,9,Signal,Overshoot,No,2,,57600
238,9,Hh,SS,No,2,38.70863759581765,False
239,9,Signal,SS,No,2,41.81014248009734,False
240,10,Hh,Overshoot,Yes,1,,57600
241,10,Signal,Overshoot,Yes,1,,57600
242,10,Hh,SS,Yes,1,11.451702063588456,False
243,10,Signal,SS,Yes,1,5.653160860664016,False
244,10,Hh,Overshoot,Yes,0.5,,57600
245,10,Signal,Overshoot,Yes,0.5,,57600
246,10,Hh,SS,Yes,0.5,11.082658635249558,False
247,10,Signal,SS,Yes,0.5,2.443464448632284,False
248,10,Hh,Overshoot,Yes,2,,57600
249,10,Signal,Overshoot,Yes,2,,57600
250,10,Hh,SS,Yes,2,11.881026388951184,False
251,10,Signal,SS,Yes,2,9.365207224797757,False
252,10,Hh,Overshoot,No,1,,57600
253,10,Signal,Overshoot,No,1,,57600
254,10,Hh,SS,No,1,11.969127161972807,False
255,10,Signal,SS,No,1,6.648873613047073,False
256,10,Hh,Overshoot,No,0.5,,57600
257,10,Signal,Overshoot,No,0.5,,57600
258,10,Hh,SS,No,0.5,11.206497045463664,False
259,10,Signal,SS,No,0.5,2.2688909547894696,False
260,10,Hh,Overshoot,No,2,,57600
261,10,Signal,Overshoot,No,2,,57600
262,10,Hh,SS,No,2,12.663748607672701,False
263,10,Signal,SS,No,2,10.746943053104715,False
264,11,Hh,Overshoot,Yes,1,13.601850446545399,9169
