,x_reach_Hh_over,t_reach_Hh_over,x_reach_Signal_over,t_reach_Signal_over,x_reach_Hh_SS,x_reach_Signal_SS,x_reach_Hh_over_up,t_reach_Hh_over_up,x_reach_Signal_over_up,t_reach_Signal_over_up,x_reach_Hh_SS_up,x_reach_Signal_SS_up,x_reach_Hh_over_down,t_reach_Hh_over_down,x_reach_Signal_over_down,t_reach_Signal_over_down,x_reach_Hh_SS_down,x_reach_Signal_SS_down
49,25.564280025241942,57600,27.384382933704984,22706,25.541437059889162,27.486709121461317,24.557894985637503,57600,19.19736049308571,57600,24.552274335619373,19.488031197965995,26.474146903698568,57600,35.7561684633373,57600,26.4163482467455,35.827306975426055
50,48.208286338403944,4351,88.52695345833203,7705,28.860650905194717,44.7274879545575,44.9406600790272,4068,70.4518765269875,7025,21.709454513092524,31.802063603598114,50.84348389428849,4852,100.99804411386508,11712,36.220387486993566,59.566819915782496
51,33.952312065900685,3015,38.21027169546791,5205,17.811927567051242,17.20626563112198,31.483822783509225,3135,27.172108292101726,5120,19.157469656641084,9.754560493185238,35.894226754234964,2995,49.65826235560324,5378,21.498367723506192,26.350769915414418
52,,57600,,57600,36.17065939970186,49.531738755191164,,57600,,57600,35.43658391680934,38.034402928083956,,57600,,57600,37.2718194953797,61.399653735109965
53,,57600,,57600,31.67926569849878,5.158973033949891,,57600,,57600,29.1367189827795,1.7490966604975853,,57600,,57600,33.352631814955686,15.477837142546505
54,27.516861346633902,2265,27.523733504873547,5319,21.930018598535952,23.452203978631417,27.263843876044646,2261,19.268134636552517,5445,22.566801322759048,15.958336400550934,27.757848033035017,2226,35.88203387644096,5405,23.261326022602148,31.293486315143554
55,24.32177502548288,1261,21.36459630214472,57600,23.576644487188474,18.77814896070987,23.945299786390606,1069,13.614575727120055,57600,22.066440036944954,11.088047122742296,25.141588441600376,1845,29.53440724861268,57600,25.014264123818023,26.89402423536434
56,,57600,,57600,19.220718919533127,23.739670938443894,,57600,,57600,16.913415561892904,15.656382529127384,,57600,,57600,23.30105369991506,33.300601122896865
57,,57600,,57600,41.5816661564509,30.99300270615261,,57600,,57600,40.24251690878019,17.1761022563704,,57600,,57600,44.22943598282152,46.34751317862709
58,,57600,,57600,7.008726031002794,8.877381160997047,,57600,,57600,6.203595501581162,6.27708285435358,12.317390755963913,1899,17.418861011454453,5664,8.308131028075053,12.252705180632347
59,34.39216884995905,4250,44.27603427888649,6250,16.136971914713598,19.37152619760559,32.456682072694065,4362,33.18931258541146,6015,14.297667193218459,11.819299077587289,35.75537507286515,4332,55.603610335631934,6551,20.871054359030012,28.44172685912983
60,24.144386011278357,4861,40.533440673075205,6673,18.722963422559076,28.66428378220799,,57600,,57600,15.306431603237229,21.67365599621786,,57600,,57600,21.812937310231177,36.45869068782833
61,19.169242323995334,3648,19.322781919177245,7245,10.642326330447133,9.392562484656452,16.619597153716143,3984,12.685643489714565,8026,11.55362141526183,5.563509937704964,21.71260072185531,3480,26.805575371661178,7019,11.812780210542144,14.560870617403054
62,,57600,,57600,11.379590247789992,7.610082372248655,,57600,,57600,11.505595603940165,4.078928809547193,,57600,,57600,11.753830640258812,12.337733406492774
